review_id,product_id,rating,review_title,review_text,review_date,reviewer_name,verified_purchase,helpful_votes
R0000023,P0000180,1,Battery life is solid,Battery life is top-notch and refresh rate is solid.,2025-10-03,Karan J.,False,181
R0000024,P0001953,4,Notifications is poor,Notifications is mediocre and performance is reliable.,2025-08-02,Nikhil R.,False,176
R0000025,P0001677,4,Bluetooth connectivity is poor,Bluetooth connectivity is excellent and fit is weak.,2025-08-30,Aarav R.,No,166
R0000026,P0000490,4,Display is solid,Display is underwhelming and port selection is excellent.,2023-08-03,Anaya I.,0,241
R0000027,P0001632,3,Battery life is poor,Battery life is excellent and software is reliable.,2024-04-25,Meera V.,Yes,100
R0000028,P0000994,5,Display is poor,Display is mediocre and contrast is inconsistent.,2025-08-17,Aryan G.,True,168
R0000029,P0001283,2,Build quality is mediocre,Build quality is mediocre and HDR is solid.,2024-10-20,Kavya X.,Yes,183
R0000030,P0000144,4,Wi-fi range is great,Wi-fi range is top-notch and refresh rate is inconsistent.,2023-11-03,Karan C.,True,32
R0000031,P0000084,3,Fit is solid,Fit is mediocre and image quality is weak.,2023-01-01,Karan M.,False,124
R0000032,P0001175,1,Comfort is solid,Comfort is underwhelming and port selection is solid.,2025-02-01,Tanvi R.,Yes,185
R0000033,P0000350,4,Noise cancellation is poor,Noise cancellation is excellent and port selection is reliable.,2025-05-18,Aarav W.,False,90
R0000034,P0001162,4,Build quality is great,Build quality is reliable and image quality is solid.,2025-04-30,Sana W.,No,193
R0000035,P0000683,5,Bluetooth connectivity is poor,Bluetooth connectivity is top-notch and Wi-Fi range is solid.,2025-01-03,Farhan Y.,Yes,33
R0000036,P0001004,2,Charging speed is great,Charging speed is mediocre and HDR is solid.,2024-05-13,Tanvi A.,1,210
R0000037,P0000812,1,Performance is mediocre,Performance is top-notch and display is weak.,2024-04-14,Priya U.,No,233
R0000038,P0001027,2,Display is impressive,Display is underwhelming and contrast is inconsistent.,2023-11-17,Aarav W.,True,22
R0000039,P0001480,3,Performance is great,Performance is reliable and ergonomics is excellent.,2024-06-03,Aarav G.,1,78
R0000040,P0000016,3,Heart rate accuracy is solid,Heart rate accuracy is excellent and contrast is excellent.,2025-10-05,Diya D.,0,193
R0000041,P0000457,1,Noise cancellation is impressive,Noise cancellation is excellent and battery life is inconsistent.,2025-08-04,Vikram Y.,No,204
R0000042,P0000720,5,Performance is poor,Performance is reliable and build quality is inconsistent.,2023-07-08,Nikhil G.,No,72
R0000043,P0000664,2,Bluetooth connectivity is poor,Bluetooth connectivity is mediocre and notifications is inconsistent.,2024-04-15,Aryan Y.,No,53
R0000044,P0001644,4,Fit is impressive,Fit is top-notch and image quality is solid.,2024-08-12,Karan G.,True,83
R0000045,P0001076,2,Contrast is poor,Contrast is underwhelming and fit is reliable.,2024-03-06,Sara N.,1,187
R0000046,P0001271,4,Camera is great,Camera is mediocre and display is excellent.,2025-02-18,Sneha N.,False,17
R0000047,P0000024,2,Video stabilization is solid,Video stabilization is excellent and fit is excellent.,2023-11-23,Aryan T.,True,156
R0000048,P0001916,3,Hdr is mediocre,Hdr is mediocre and heart rate accuracy is excellent.,2023-01-29,Aarav A.,False,143
R0000049,P0001693,4,Camera is great,Camera is top-notch and HDR is solid.,2025-01-31,Ritu H.,0,189
R0000050,P0001150,5,Ergonomics is solid,Ergonomics is mediocre and heart rate accuracy is inconsistent.,2025-11-04,Rohan K.,0,6
R0000051,P0002000,4,Wi-fi range is mediocre,Wi-fi range is top-notch and Bluetooth connectivity is inconsistent.,2024-10-20,Anaya T.,True,223
R0000052,P0001149,4,Ergonomics is mediocre,Ergonomics is mediocre and contrast is inconsistent.,2023-12-17,Sana Z.,0,127
R0000053,P0000640,4,Contrast is great,Contrast is top-notch and noise cancellation is weak.,2024-07-07,Meera W.,True,111
R0000054,P0000894,5,Camera is solid,Camera is reliable and Wi-Fi range is excellent.,2024-04-04,Aryan S.,0,11
R0000055,P0000974,5,Fit is poor,Fit is reliable and camera is solid.,2025-05-04,Aryan Z.,1,169
R0000056,P0000947,5,Battery life is great,Battery life is mediocre and charging speed is weak.,2024-03-16,Ritu W.,0,242
R0000057,P0000817,2,Notifications is mediocre,Notifications is mediocre and build quality is solid.,2023-06-01,Sara W.,1,182
R0000058,P0001693,3,Port selection is solid,Port selection is top-notch and contrast is reliable.,2025-03-27,Sara Q.,No,53
R0000059,P0000760,1,Notifications is great,Notifications is reliable and performance is solid.,2023-09-18,Nikhil X.,Yes,18
R0000060,P0001120,3,Build quality is impressive,Build quality is excellent and noise cancellation is excellent.,2024-07-12,Nikhil I.,1,211
R0000061,P0000970,3,Bluetooth connectivity is great,Bluetooth connectivity is excellent and notifications is solid.,2025-01-15,Ritu Z.,0,33
R0000062,P0000591,4,Image quality is solid,Image quality is top-notch and display is excellent.,2025-02-23,Aarav X.,0,129
R0000063,P0000835,2,Comfort is mediocre,Comfort is top-notch and image quality is weak.,2025-04-11,Anil F.,1,214
R0000064,P0001924,4,Comfort is great,Comfort is mediocre and software is inconsistent.,2023-11-22,Kavya N.,1,110
R0000065,P0001117,5,Battery life is great,Battery life is mediocre and contrast is excellent.,2024-11-24,Aarav D.,Yes,202
R0000066,P0001466,3,Charging speed is mediocre,Charging speed is underwhelming and refresh rate is reliable.,2023-02-25,Kavya X.,False,208
R0000067,P0001305,2,Ergonomics is poor,Ergonomics is underwhelming and charging speed is weak.,2023-03-26,Sana Q.,False,196
R0000068,P0000530,5,Port selection is solid,Port selection is underwhelming and refresh rate is reliable.,2025-08-24,Sana M.,No,208
R0000069,P0001091,2,Charging speed is poor,Charging speed is reliable and contrast is excellent.,2023-06-29,Ritu Z.,1,176
R0000070,P0000237,3,Ergonomics is mediocre,Ergonomics is mediocre and performance is weak.,2023-07-17,Aryan J.,False,104
R0000071,P0001293,5,Heart rate accuracy is mediocre,Heart rate accuracy is reliable and noise cancellation is weak.,2024-12-24,Karan Q.,0,37
R0000072,P0000343,2,Notifications is impressive,Notifications is top-notch and build quality is solid.,2023-08-04,Farhan H.,Yes,245
R0000073,P0000017,5,Camera is solid,Camera is underwhelming and battery life is solid.,2023-01-01,Aditi L.,Yes,4
R0000074,P0001598,4,Wi-fi range is mediocre,Wi-fi range is underwhelming and software is inconsistent.,2023-10-10,Rahul D.,No,75
R0000075,P0001521,4,Notifications is poor,Notifications is underwhelming and performance is weak.,2023-12-30,Aarav L.,Yes,50
R0000076,P0001646,2,Charging speed is impressive,Charging speed is mediocre and image quality is excellent.,2023-01-26,Sara C.,False,154
R0000077,P0001213,5,Wi-fi range is poor,Wi-fi range is top-notch and charging speed is inconsistent.,2025-09-16,Karan O.,False,145
R0000078,P0001466,4,Image quality is poor,Image quality is top-notch and noise cancellation is excellent.,2025-01-04,Aryan P.,True,112
R0000079,P0000127,1,Display is solid,Display is mediocre and battery life is reliable.,2025-11-23,Diya H.,False,106
R0000080,P0000683,3,Fit is great,Fit is reliable and camera is weak.,2023-10-15,Aditi G.,No,131
R0000081,P0000841,3,Noise cancellation is mediocre,Noise cancellation is top-notch and comfort is solid.,2023-06-04,Ritu T.,False,41
R0000082,P0000759,1,Noise cancellation is great,Noise cancellation is reliable and image quality is reliable.,2024-07-26,Kavya H.,1,37
R0000083,P0000557,1,Build quality is solid,Build quality is excellent and noise cancellation is weak.,2025-05-16,Ira S.,No,209
R0000084,P0000671,5,Build quality is poor,Build quality is reliable and notifications is solid.,2023-10-08,Farhan S.,True,187
R0000085,P0001052,4,Contrast is great,Contrast is top-notch and build quality is reliable.,2023-08-19,Aarav I.,False,67
R0000086,P0000760,2,Performance is mediocre,Performance is reliable and charging speed is weak.,2024-05-06,Anil X.,Yes,79
R0000087,P0000420,3,Performance is mediocre,Performance is underwhelming and image quality is excellent.,2025-10-08,Aarav D.,True,177
R0000088,P0000156,2,Comfort is great,Comfort is mediocre and HDR is weak.,2025-01-05,Nikhil T.,True,176
R0000089,P0001854,4,Notifications is mediocre,Notifications is mediocre and heart rate accuracy is solid.,2024-02-24,Sneha E.,True,151
R0000090,P0000104,2,Contrast is great,Contrast is underwhelming and comfort is weak.,2023-12-28,Anil R.,1,234
R0000091,P0001887,3,Performance is impressive,Performance is underwhelming and Bluetooth connectivity is reliable.,2023-09-14,Kavya F.,False,33
R0000092,P0001506,4,Ergonomics is mediocre,Ergonomics is top-notch and video stabilization is solid.,2025-10-21,Ira F.,Yes,126
R0000093,P0001238,1,Software is impressive,Software is top-notch and video stabilization is solid.,2024-02-29,Vikram W.,False,153
R0000094,P0000565,5,Display is solid,Display is underwhelming and image quality is solid.,2025-03-09,Rahul G.,1,89
R0000095,P0000205,3,Build quality is great,Build quality is underwhelming and port selection is reliable.,2023-07-21,Rahul V.,No,25
R0000096,P0000848,4,Fit is mediocre,Fit is mediocre and ergonomics is inconsistent.,2025-05-07,Ira H.,True,230
R0000097,P0000420,4,Camera is poor,Camera is excellent and battery life is weak.,2023-02-26,Vikram A.,False,0
R0000098,P0001569,5,Refresh rate is poor,Refresh rate is underwhelming and video stabilization is reliable.,2023-08-11,Priya Q.,Yes,179
R0000099,P0000684,5,Notifications is great,Notifications is reliable and refresh rate is inconsistent.,2024-07-17,Kavya W.,0,176
R0000100,P0001531,5,Performance is solid,Performance is reliable and port selection is weak.,2024-03-03,Anaya P.,False,90
R0000101,P0001297,4,Charging speed is impressive,Charging speed is reliable and camera is reliable.,2025-08-28,Meera F.,True,245
R0000102,P0001592,2,Heart rate accuracy is great,Heart rate accuracy is top-notch and HDR is weak.,2024-02-10,Farhan R.,True,64
R0000103,P0001917,4,Bluetooth connectivity is mediocre,Bluetooth connectivity is mediocre and noise cancellation is excellent.,2023-03-28,Anil M.,No,153
R0000104,P0001483,4,Bluetooth connectivity is impressive,Bluetooth connectivity is mediocre and HDR is weak.,2025-04-05,Aryan X.,1,182
R0000105,P0000328,2,Software is poor,Software is excellent and performance is inconsistent.,2024-01-14,Nikhil W.,1,151
R0000106,P0001648,5,Image quality is great,Image quality is excellent and build quality is solid.,2024-04-25,Vihaan S.,False,77
R0000107,P0001792,4,Fit is mediocre,Fit is top-notch and display is inconsistent.,2025-06-19,Anaya C.,1,6
R0000108,P0001664,5,Build quality is impressive,Build quality is excellent and Wi-Fi range is reliable.,2025-10-20,Aarav T.,0,133
R0000109,P0000367,5,Build quality is impressive,Build quality is top-notch and noise cancellation is solid.,2024-05-28,Rohan W.,0,102
R0000110,P0001889,3,Bluetooth connectivity is mediocre,Bluetooth connectivity is mediocre and comfort is reliable.,2023-02-25,Rohan J.,0,32
R0000111,P0001732,5,Hdr is solid,Hdr is excellent and charging speed is weak.,2025-08-12,Meera P.,True,214
R0000112,P0001089,4,Software is mediocre,Software is excellent and video stabilization is weak.,2024-10-15,Vikram V.,False,15
R0000113,P0001799,2,Ergonomics is great,Ergonomics is underwhelming and image quality is inconsistent.,2024-04-19,Anaya W.,False,119
R0000114,P0000665,1,Wi-fi range is impressive,Wi-fi range is top-notch and video stabilization is reliable.,2024-03-11,Farhan J.,1,84
R0000115,P0000091,4,Charging speed is solid,Charging speed is mediocre and heart rate accuracy is weak.,2024-10-19,Ira J.,True,15
R0000116,P0001901,3,Notifications is mediocre,Notifications is underwhelming and charging speed is inconsistent.,2025-11-01,Aarav K.,0,165
R0000117,P0000753,5,Charging speed is solid,Charging speed is reliable and contrast is solid.,2024-05-01,Ritu U.,0,63
R0000118,P0001797,4,Software is mediocre,Software is excellent and HDR is inconsistent.,2024-02-16,Kavya R.,1,99
R0000119,P0001223,2,Camera is poor,Camera is mediocre and HDR is reliable.,2024-02-07,Tanvi V.,Yes,69
R0000120,P0001670,5,Hdr is great,Hdr is reliable and Wi-Fi range is solid.,2023-12-12,Aryan L.,0,73
R0000121,P0000172,3,Video stabilization is great,Video stabilization is top-notch and contrast is inconsistent.,2023-11-23,Sara I.,No,1
R0000122,P0000749,5,Charging speed is mediocre,Charging speed is excellent and battery life is inconsistent.,2025-02-07,Tanvi U.,0,80
R0000123,P0000476,1,Comfort is great,Comfort is excellent and port selection is excellent.,2025-10-27,Karan Y.,True,200
R0000124,P0001568,4,Software is solid,Software is reliable and camera is reliable.,2023-06-26,Rohan V.,True,13
R0000125,P0001587,2,Fit is poor,Fit is reliable and charging speed is weak.,2024-03-10,Anil A.,False,172
R0000126,P0001384,4,Display is mediocre,Display is top-notch and software is reliable.,2023-07-03,Rahul J.,Yes,250
R0000127,P0000103,5,Video stabilization is great,Video stabilization is underwhelming and build quality is solid.,2025-11-10,Vikram H.,0,235
R0000128,P0000289,4,Wi-fi range is great,Wi-fi range is top-notch and notifications is solid.,2025-07-03,Ritu N.,No,44
R0000129,P0000136,2,Display is mediocre,Display is mediocre and Wi-Fi range is inconsistent.,2023-01-14,Rohan P.,Yes,177
R0000130,P0000991,2,Software is poor,Software is reliable and refresh rate is weak.,2023-12-30,Ritu Q.,No,15
R0000131,P0001319,4,Display is solid,Display is reliable and port selection is inconsistent.,2023-08-13,Sana U.,1,130
R0000132,P0001952,4,Contrast is impressive,Contrast is underwhelming and image quality is weak.,2025-11-05,Aditi S.,False,37
R0000133,P0000212,5,Refresh rate is solid,Refresh rate is reliable and fit is reliable.,2025-04-11,Sara M.,1,109
R0000134,P0000310,5,Refresh rate is solid,Refresh rate is reliable and charging speed is weak.,2025-02-13,Tanvi U.,0,205
R0000135,P0001890,3,Ergonomics is impressive,Ergonomics is excellent and display is solid.,2023-03-18,Anil E.,False,103
R0000136,P0001433,3,Port selection is poor,Port selection is underwhelming and charging speed is excellent.,2023-05-12,Vihaan E.,No,112
R0000137,P0001116,5,Noise cancellation is great,Noise cancellation is reliable and charging speed is inconsistent.,2023-12-04,Aarav D.,0,149
R0000138,P0000679,3,Notifications is solid,Notifications is excellent and image quality is weak.,2025-07-19,Nikhil H.,True,62
R0000139,P0001462,4,Camera is impressive,Camera is mediocre and performance is reliable.,2025-05-20,Vihaan T.,No,215
R0000140,P0000119,1,Bluetooth connectivity is impressive,Bluetooth connectivity is top-notch and video stabilization is inconsistent.,2025-04-16,Meera J.,False,45
R0000141,P0000203,5,Contrast is solid,Contrast is underwhelming and heart rate accuracy is inconsistent.,2025-07-03,Rahul D.,1,198
R0000142,P0001307,5,Port selection is great,Port selection is excellent and battery life is excellent.,2023-02-19,Farhan I.,False,210
R0000143,P0001987,3,Software is solid,Software is reliable and comfort is inconsistent.,2025-03-31,Anaya S.,Yes,233
R0000144,P0001177,2,Image quality is impressive,Image quality is underwhelming and HDR is solid.,2025-02-24,Aryan B.,False,104
R0000145,P0001303,1,Display is poor,Display is mediocre and contrast is excellent.,2025-03-25,Rahul Q.,False,131
R0000146,P0001114,4,Noise cancellation is solid,Noise cancellation is mediocre and contrast is excellent.,2023-10-18,Priya P.,True,24
R0000147,P0001743,1,Comfort is poor,Comfort is excellent and contrast is inconsistent.,2025-11-17,Tanvi P.,0,222
R0000148,P0000606,5,Image quality is great,Image quality is excellent and notifications is reliable.,2024-06-05,Farhan T.,1,119
R0000149,P0001862,4,Refresh rate is impressive,Refresh rate is underwhelming and notifications is solid.,2024-02-16,Priya D.,No,67
R0000150,P0001089,3,Display is solid,Display is excellent and heart rate accuracy is inconsistent.,2023-10-28,Farhan H.,True,178
R0000151,P0001573,5,Heart rate accuracy is great,Heart rate accuracy is top-notch and video stabilization is inconsistent.,2024-01-06,Vikram X.,1,69
R0000152,P0000196,4,Battery life is poor,Battery life is excellent and refresh rate is reliable.,2024-04-20,Priya H.,1,29
R0000153,P0000626,2,Image quality is mediocre,Image quality is top-notch and build quality is reliable.,2024-06-08,Tanvi U.,Yes,39
R0000154,P0001704,5,Comfort is impressive,Comfort is top-notch and Bluetooth connectivity is inconsistent.,2024-03-03,Vihaan D.,False,58
R0000155,P0001569,4,Build quality is solid,Build quality is mediocre and port selection is excellent.,2023-12-21,Rahul Q.,Yes,181
R0000156,P0001225,2,Battery life is impressive,Battery life is underwhelming and video stabilization is reliable.,2024-01-29,Vihaan F.,0,18
R0000157,P0000967,3,Fit is great,Fit is mediocre and port selection is excellent.,2025-08-26,Tanvi U.,Yes,16
R0000158,P0000631,4,Image quality is mediocre,Image quality is mediocre and video stabilization is inconsistent.,2025-11-17,Meera E.,1,33
R0000159,P0000118,3,Heart rate accuracy is mediocre,Heart rate accuracy is underwhelming and display is solid.,2025-05-27,Kavya G.,False,38
R0000160,P0001988,4,Display is mediocre,Display is excellent and notifications is reliable.,2025-08-22,Kavya H.,0,196
R0000161,P0000839,5,Wi-fi range is poor,Wi-fi range is excellent and fit is reliable.,2023-09-16,Sana A.,No,18
R0000162,P0001215,3,Notifications is impressive,Notifications is mediocre and HDR is solid.,2023-06-24,Karan U.,No,51
R0000163,P0000772,3,Notifications is impressive,Notifications is reliable and video stabilization is excellent.,2025-10-18,Rahul Z.,False,159
R0000164,P0001600,4,Display is solid,Display is excellent and HDR is reliable.,2025-03-09,Vihaan B.,1,20
R0000165,P0000550,3,Fit is great,Fit is underwhelming and contrast is solid.,2023-09-13,Sana H.,False,181
R0000166,P0001386,4,Port selection is mediocre,Port selection is top-notch and battery life is reliable.,2025-03-26,Sara M.,False,197
R0000167,P0001831,5,Battery life is poor,Battery life is mediocre and port selection is weak.,2025-04-07,Kavya K.,1,183
R0000168,P0000045,3,Wi-fi range is solid,Wi-fi range is excellent and performance is reliable.,2023-03-01,Karan E.,0,11
R0000169,P0001579,3,Comfort is impressive,Comfort is reliable and build quality is solid.,2023-03-28,Aryan F.,True,175
R0000170,P0000507,3,Fit is great,Fit is underwhelming and HDR is inconsistent.,2025-02-05,Ira R.,False,57
R0000171,P0000330,4,Wi-fi range is great,Wi-fi range is reliable and contrast is solid.,2025-07-10,Rahul R.,False,140
R0000172,P0000123,4,Camera is impressive,Camera is mediocre and build quality is inconsistent.,2023-08-04,Sneha A.,False,149
R0000173,P0001245,3,Port selection is solid,Port selection is mediocre and camera is excellent.,2025-12-01,Sneha I.,False,19
R0000174,P0000303,2,Video stabilization is solid,Video stabilization is top-notch and Bluetooth connectivity is solid.,2023-03-18,Kavya I.,0,240
R0000175,P0000958,4,Battery life is mediocre,Battery life is reliable and Wi-Fi range is inconsistent.,2025-09-30,Sneha E.,0,214
R0000176,P0000597,4,Wi-fi range is great,Wi-fi range is mediocre and port selection is weak.,2023-09-21,Anaya W.,Yes,211
R0000177,P0000193,4,Build quality is solid,Build quality is excellent and noise cancellation is reliable.,2023-09-02,Farhan E.,0,58
R0000178,P0000885,3,Refresh rate is mediocre,Refresh rate is reliable and video stabilization is weak.,2024-04-14,Nikhil E.,No,64
R0000179,P0000018,1,Bluetooth connectivity is poor,Bluetooth connectivity is reliable and Wi-Fi range is reliable.,2025-08-11,Karan B.,True,238
R0000180,P0001672,4,Notifications is poor,Notifications is underwhelming and noise cancellation is reliable.,2025-07-29,Kavya C.,1,113
R0000181,P0001868,5,Performance is mediocre,Performance is top-notch and notifications is inconsistent.,2024-05-06,Sana A.,True,148
R0000182,P0001462,1,Port selection is mediocre,Port selection is top-notch and Wi-Fi range is excellent.,2023-12-28,Ritu N.,Yes,196
R0000183,P0001552,5,Fit is solid,Fit is top-notch and port selection is reliable.,2024-03-05,Ritu T.,0,103
R0000184,P0000043,5,Performance is impressive,Performance is mediocre and charging speed is inconsistent.,2023-09-23,Sana I.,Yes,205
R0000185,P0000633,3,Noise cancellation is impressive,Noise cancellation is underwhelming and battery life is reliable.,2024-05-23,Karan C.,No,44
R0000186,P0000959,2,Notifications is impressive,Notifications is excellent and battery life is reliable.,2025-06-04,Aditi H.,Yes,83
R0000187,P0000424,5,Charging speed is solid,Charging speed is top-notch and heart rate accuracy is excellent.,2023-03-16,Anil Q.,True,71
R0000188,P0000339,5,Build quality is solid,Build quality is underwhelming and battery life is solid.,2025-01-31,Kavya P.,No,242
R0000189,P0000366,1,Refresh rate is great,Refresh rate is underwhelming and display is inconsistent.,2025-09-24,Aarav N.,False,137
R0000190,P0000127,5,Software is mediocre,Software is mediocre and image quality is excellent.,2023-09-20,Meera L.,1,167
R0000191,P0001343,5,Ergonomics is mediocre,Ergonomics is mediocre and comfort is reliable.,2023-09-06,Rahul L.,1,69
R0000192,P0001468,5,Video stabilization is mediocre,Video stabilization is top-notch and Wi-Fi range is inconsistent.,2023-04-30,Sana J.,Yes,103
R0000193,P0000806,4,Comfort is solid,Comfort is reliable and noise cancellation is reliable.,2023-01-20,Vikram Z.,False,111
R0000194,P0001533,3,Comfort is solid,Comfort is top-notch and heart rate accuracy is inconsistent.,2023-07-10,Kavya J.,1,79
R0000195,P0000135,1,Contrast is poor,Contrast is underwhelming and video stabilization is excellent.,2023-03-28,Priya B.,No,182
R0000196,P0000450,4,Hdr is poor,Hdr is top-notch and image quality is reliable.,2024-04-27,Aditi T.,1,82
R0000197,P0001185,5,Port selection is solid,Port selection is underwhelming and refresh rate is excellent.,2024-06-13,Sara X.,Yes,226
R0000198,P0001939,2,Heart rate accuracy is mediocre,Heart rate accuracy is reliable and video stabilization is weak.,2023-06-19,Kavya R.,0,45
R0000199,P0001345,3,Wi-fi range is solid,Wi-fi range is mediocre and image quality is inconsistent.,2023-07-09,Tanvi R.,Yes,239
R0000200,P0001359,5,Noise cancellation is mediocre,Noise cancellation is mediocre and battery life is reliable.,2025-05-06,Aarav O.,False,161
R0000201,P0001852,4,Software is mediocre,Software is mediocre and contrast is weak.,2025-02-08,Sara X.,False,23
R0000202,P0001001,3,Wi-fi range is impressive,Wi-fi range is excellent and comfort is excellent.,2025-10-07,Diya L.,0,189
R0000203,P0000743,4,Camera is mediocre,Camera is top-notch and charging speed is weak.,2024-04-25,Rahul L.,0,231
R0000204,P0001091,1,Build quality is mediocre,Build quality is underwhelming and comfort is weak.,2024-04-04,Meera X.,1,9
R0000205,P0000778,5,Display is great,Display is excellent and port selection is weak.,2025-07-03,Aarav Z.,0,71
R0000206,P0001359,1,Build quality is poor,Build quality is underwhelming and battery life is excellent.,2024-11-14,Diya P.,No,206
R0000207,P0000647,4,Refresh rate is great,Refresh rate is excellent and performance is excellent.,2024-10-27,Vikram T.,False,109
R0000208,P0000851,5,Battery life is great,Battery life is underwhelming and performance is inconsistent.,2025-11-14,Rohan S.,No,182
R0000209,P0001054,5,Video stabilization is mediocre,Video stabilization is excellent and display is reliable.,2024-11-12,Sara I.,False,9
R0000210,P0001389,5,Charging speed is mediocre,Charging speed is top-notch and battery life is excellent.,2023-05-13,Rahul E.,False,155
R0000211,P0001775,5,Contrast is poor,Contrast is reliable and battery life is reliable.,2023-11-06,Sara S.,False,232
R0000212,P0001436,4,Wi-fi range is solid,Wi-fi range is underwhelming and comfort is reliable.,2023-06-02,Rohan P.,Yes,196
R0000213,P0000623,4,Comfort is mediocre,Comfort is top-notch and video stabilization is weak.,2023-03-04,Farhan V.,Yes,50
R0000214,P0001459,5,Noise cancellation is solid,Noise cancellation is mediocre and build quality is solid.,2023-01-07,Anil J.,0,248
R0000215,P0000862,5,Heart rate accuracy is solid,Heart rate accuracy is mediocre and notifications is reliable.,2023-02-20,Karan F.,Yes,27
R0000216,P0001009,3,Refresh rate is mediocre,Refresh rate is reliable and video stabilization is reliable.,2023-11-17,Sara I.,No,104
R0000217,P0001047,3,Charging speed is mediocre,Charging speed is excellent and notifications is solid.,2023-12-27,Aryan Y.,Yes,83
R0000218,P0001024,3,Heart rate accuracy is great,Heart rate accuracy is reliable and noise cancellation is solid.,2025-11-23,Anil S.,True,155
R0000219,P0000989,2,Camera is mediocre,Camera is mediocre and refresh rate is weak.,2025-05-26,Ritu P.,1,213
R0000220,P0001780,3,Video stabilization is impressive,Video stabilization is underwhelming and contrast is reliable.,2023-11-08,Nikhil G.,No,21
R0000221,P0001448,3,Notifications is impressive,Notifications is top-notch and fit is weak.,2024-02-29,Sara R.,True,185
R0000222,P0001724,5,Notifications is solid,Notifications is mediocre and image quality is reliable.,2024-01-19,Sara E.,1,203
R0000223,P0001522,3,Battery life is great,Battery life is excellent and video stabilization is weak.,2025-08-17,Ritu K.,1,208
R0000224,P0001699,4,Port selection is mediocre,Port selection is mediocre and performance is reliable.,2025-06-20,Diya J.,False,49
R0000225,P0001499,2,Hdr is great,Hdr is top-notch and noise cancellation is solid.,2023-04-12,Sara Y.,False,106
R0000226,P0001335,3,Hdr is poor,Hdr is excellent and comfort is excellent.,2025-06-02,Sneha V.,1,212
R0000227,P0001419,5,Bluetooth connectivity is poor,Bluetooth connectivity is mediocre and ergonomics is excellent.,2023-11-30,Priya Q.,False,159
R0000228,P0001048,3,Bluetooth connectivity is great,Bluetooth connectivity is underwhelming and charging speed is solid.,2024-11-01,Nikhil J.,True,137
R0000229,P0000763,3,Image quality is mediocre,Image quality is mediocre and charging speed is inconsistent.,2023-12-27,Kavya T.,0,136
R0000230,P0000256,4,Build quality is poor,Build quality is underwhelming and performance is solid.,2023-06-01,Anil Y.,Yes,184
R0000231,P0000393,3,Bluetooth connectivity is poor,Bluetooth connectivity is excellent and contrast is excellent.,2025-09-24,Diya T.,1,45
R0000232,P0000317,2,Hdr is great,Hdr is underwhelming and charging speed is solid.,2025-10-16,Meera P.,True,131
