product_id,product_title,brand,category,subtype,price,sku_asin,seller_external_id
P0000093,TP-Link Z3 64GB Tablet,TP-Link,Electronics,Tablet,904.74,BBE8IN1DHO,S0000003
P0000094,Apple Pro 32GB Tablet,Apple,Electronics,Tablet,332.50,B7FNW1CVK0,S0000004
P0000095,HP M3 128GB Laptop,HP,Electronics,Laptop,2082.43,BT89SX6VIJ,S0000005
P0000096,boAt X3 TV,boAt,Electronics,TV,620.34,BDNJYOX2Z3,S0000006
P0000097,Realme S2 Camera,Realme,Electronics,Camera,3822.12,BU69AWBJS9,S0000007
P0000098,Audio-Technica X3 Speaker,Audio-Technica,Electronics,Speaker,775.60,B24O7F5EWR,S0000008
P0000099,Netgear Bolt Headphones,Netgear,Electronics,Headphones,558.23,BRRGRKRAH7,S0000009
P0000100,Amazfit Neo Router,Amazfit,Electronics,Router,205.66,BYCYKDON6V,S0000010
P0000101,Apple Ultra Headphones,Apple,Electronics,Headphones,160.37,B5O51A5TH8,S0000001
P0000102,boAt M3 Earbuds,boAt,Electronics,Earbuds,116.62,BVL892JPPG,S0000002
P0000103,ASUS Air 64GB Laptop,ASUS,Electronics,Laptop,3429.00,BEFTCWV84M,S0000003
P0000104,Dell S3 Smartwatch,Dell,Electronics,Smartwatch,812.86,BOD8N9ZJIF,S0000004
P0000105,Huawei Ultra Earbuds,Huawei,Electronics,Earbuds,174.37,B8T515553X,S0000005
P0000106,Amazfit Air Monitor,Amazfit,Electronics,Monitor,1422.48,B3MNUVI587,S0000006
P0000107,Vivo Neo 256GB Laptop,Vivo,Electronics,Laptop,1364.88,BGZKDUT9RU,S0000007
P0000108,Nokia Ultra Smartwatch,Nokia,Electronics,Smartwatch,915.21,BPWDWOKR1X,S0000008
P0000109,OnePlus X1 32GB Laptop,OnePlus,Electronics,Laptop,2905.97,B25254O1BP,S0000009
P0000110,Redmi Ultra Smartwatch,Redmi,Electronics,Smartwatch,901.82,BZ324K2BCP,S0000010
P0000111,Motorola Prime Headphones,Motorola,Electronics,Headphones,401.25,BML5LRGVE8,S0000001
P0000112,Audio-Technica Bolt 512GB Laptop,Audio-Technica,Electronics,Laptop,2304.71,BPORHGMEQB,S0000002
P0000113,Audio-Technica Air Speaker,Audio-Technica,Electronics,Speaker,335.31,BX775BCZBY,S0000003
P0000114,Sony Edge 64GB Smartphone,Sony,Electronics,Smartphone,1725.85,BW1AW625E4,S0000004
P0000115,GoPro X1 Earbuds,GoPro,Electronics,Earbuds,131.71,BJ6U9LY0RM,S0000005
P0000116,Lenovo X2 32GB Tablet,Lenovo,Electronics,Tablet,874.63,B8QQ9HWH0Z,S0000006
P0000117,Redmi Z3 128GB Tablet,Redmi,Electronics,Tablet,499.04,B3KV6X35P7,S0000007
P0000118,Apple Lite Smartwatch,Apple,Electronics,Smartwatch,255.18,B1XNQ75YL0,S0000008
P0000119,Garmin S1 Router,Garmin,Electronics,Router,210.38,B96JAO8DHH,S0000009
P0000120,Netgear S1 Camera,Netgear,Electronics,Camera,548.02,BNSLD0TMC4,S0000010
P0000121,ASUS Edge 32GB Laptop,ASUS,Electronics,Laptop,2331.99,B3DD7J77PX,S0000001
P0000122,HP M3 Speaker,HP,Electronics,Speaker,445.92,BX616WL5W9,S0000002
P0000123,Audio-Technica M3 Headphones,Audio-Technica,Electronics,Headphones,559.08,B81WV59TAJ,S0000003
P0000124,JBL Go Camera,JBL,Electronics,Camera,1410.07,B4NXRTXB5Q,S0000004
P0000125,Sony S3 Smartwatch,Sony,Electronics,Smartwatch,1100.30,BN49Z0B4V2,S0000005
P0000126,Redmi S2 Camera,Redmi,Electronics,Camera,4185.22,BBVJ7PDM87,S0000006
P0000127,Lenovo Ultra 32GB Laptop,Lenovo,Electronics,Laptop,3448.57,B2HV425DT8,S0000007
P0000128,Motorola X3 Smartwatch,Motorola,Electronics,Smartwatch,621.41,BFA4TR1T2D,S0000008
P0000129,Garmin X1 TV,Garmin,Electronics,TV,3209.88,BOTW4TG76V,S0000009
P0000130,Lenovo M3 Camera,Lenovo,Electronics,Camera,4905.72,BSD12WV4HH,S0000010
P0000131,Motorola Ultra Speaker,Motorola,Electronics,Speaker,734.30,BIH5H3ZU24,S0000001
P0000132,TP-Link Prime Camera,TP-Link,Electronics,Camera,378.60,BDWFWI0EC3,S0000002
P0000133,Vivo Prime Camera,Vivo,Electronics,Camera,346.51,B1D7S46ZIX,S0000003
P0000134,boAt Prime Router,boAt,Electronics,Router,212.84,BBQLZB1RDJ,S0000004
P0000135,Canon Bolt Earbuds,Canon,Electronics,Earbuds,324.03,B98EJZ8QB3,S0000005
P0000136,Sennheiser Ultra Speaker,Sennheiser,Electronics,Speaker,596.16,BTO57P0NYP,S0000006
P0000137,Nokia X1 64GB Smartphone,Nokia,Electronics,Smartphone,1419.66,BMPM3RXEOK,S0000007
P0000138,Realme Ultra 256GB Smartphone,Realme,Electronics,Smartphone,495.58,B6S8XJNJJA,S0000008
P0000139,Audio-Technica Ultra TV,Audio-Technica,Electronics,TV,1771.88,BJH0PENZCG,S0000009
P0000140,Amazfit Edge Speaker,Amazfit,Electronics,Speaker,531.43,BRVQ8X76ZK,S0000010
P0000141,MSI S1 32GB Smartphone,MSI,Electronics,Smartphone,369.95,BY8CGU9RS7,S0000001
P0000142,Dell S1 Headphones,Dell,Electronics,Headphones,359.14,BTGBXTK87N,S0000002
P0000143,Xiaomi Pro Monitor,Xiaomi,Electronics,Monitor,384.30,BK30U2554B,S0000003
P0000144,boAt Pro Earbuds,boAt,Electronics,Earbuds,371.74,B0PKH1RAH1,S0000004
P0000145,Xiaomi M3 Monitor,Xiaomi,Electronics,Monitor,747.43,BM548K1GV9,S0000005
P0000146,Canon Pro Monitor,Canon,Electronics,Monitor,194.41,B4FXLRRR1Q,S0000006
P0000147,Lenovo X1 Smartwatch,Lenovo,Electronics,Smartwatch,146.19,B8GGSM8IXA,S0000007
P0000148,OnePlus Go Router,OnePlus,Electronics,Router,345.92,B98RKQQS9N,S0000008
P0000149,MSI Edge 128GB Smartphone,MSI,Electronics,Smartphone,292.38,BRQOHKE971,S0000009
P0000150,ASUS Lite 128GB Smartphone,ASUS,Electronics,Smartphone,1762.72,BL6ZLPV6O5,S0000010
P0000151,JBL Neo Earbuds,JBL,Electronics,Earbuds,67.60,B6N3Q5TMRE,S0000001
P0000152,Redmi Edge Smartwatch,Redmi,Electronics,Smartwatch,406.52,BC2AX0DJJZ,S0000002
P0000153,LG S1 Headphones,LG,Electronics,Headphones,384.97,B3BWE6R7ZA,S0000003
P0000154,Sony Prime 64GB Smartphone,Sony,Electronics,Smartphone,1139.34,BQER197C9S,S0000004
P0000155,Huawei Air Router,Huawei,Electronics,Router,308.13,B65IIU1JQP,S0000005
P0000156,Lenovo Go Smartwatch,Lenovo,Electronics,Smartwatch,179.96,B2BGKM5YLA,S0000006
P0000157,Vivo X1 64GB Smartphone,Vivo,Electronics,Smartphone,1616.22,B65Z0F65JC,S0000007
P0000158,LG Lite Router,LG,Electronics,Router,168.75,B40GK7L1HS,S0000008
P0000159,Motorola Air Earbuds,Motorola,Electronics,Earbuds,100.94,BJVD5FZPNB,S0000009
P0000160,GoPro Prime Camera,GoPro,Electronics,Camera,4845.28,B3DE9CISSO,S0000010
P0000161,HP M3 TV,HP,Electronics,TV,4271.38,B3WAWIA0OP,S0000001
P0000162,HP Z3 128GB Laptop,HP,Electronics,Laptop,1152.23,BBY2GRA2K3,S0000002
P0000163,Motorola Go Earbuds,Motorola,Electronics,Earbuds,330.62,BCR32YRA7A,S0000003
P0000164,Audio-Technica S1 Monitor,Audio-Technica,Electronics,Monitor,684.82,B3O1WI910J,S0000004
P0000165,Vivo Go Smartwatch,Vivo,Electronics,Smartwatch,288.35,B4JFN1QJX9,S0000005
P0000166,MSI X3 Headphones,MSI,Electronics,Headphones,121.42,BKWF8ZVDKR,S0000006
P0000167,JBL S2 Router,JBL,Electronics,Router,189.35,B3SQ5R0CKR,S0000007
P0000168,ASUS Go 32GB Laptop,ASUS,Electronics,Laptop,3478.30,BMI1HO01MH,S0000008
P0000169,Motorola Z3 Monitor,Motorola,Electronics,Monitor,166.25,BZ1BXLT5TT,S0000009
P0000170,ASUS X3 Headphones,ASUS,Electronics,Headphones,604.38,BGXEQ28MSN,S0000010
P0000171,Netgear Air TV,Netgear,Electronics,TV,2714.57,B06BVU0ZYT,S0000001
P0000172,Lenovo Pro 256GB Tablet,Lenovo,Electronics,Tablet,618.82,BQC46WASZS,S0000002
P0000173,Audio-Technica X2 Speaker,Audio-Technica,Electronics,Speaker,329.20,BGEMH6F1YF,S0000003
P0000174,Netgear Air 64GB Tablet,Netgear,Electronics,Tablet,1445.08,B95PG93MB6,S0000004
P0000175,Amazfit Neo Camera,Amazfit,Electronics,Camera,4421.34,B7LBIAF4LG,S0000005
P0000176,Marshall S3 128GB Tablet,Marshall,Electronics,Tablet,998.71,BODERPB00C,S0000006
P0000177,D-Link Air Headphones,D-Link,Electronics,Headphones,464.40,BPU5GN4POV,S0000007
P0000178,boAt Neo Smartwatch,boAt,Electronics,Smartwatch,973.60,BN49EKOY9G,S0000008
P0000179,Nikon Prime Router,Nikon,Electronics,Router,311.00,BL93NXOHFC,S0000009
P0000180,GoPro M3 TV,GoPro,Electronics,TV,3303.65,BP4G2WFWZB,S0000010
P0000181,Marshall Air Headphones,Marshall,Electronics,Headphones,350.35,BDYPDGQM6L,S0000001
P0000182,Netgear Neo Smartwatch,Netgear,Electronics,Smartwatch,785.37,BP1MRNIS3T,S0000002
P0000183,Canon Neo Speaker,Canon,Electronics,Speaker,81.41,B98UQOWYDA,S0000003
P0000184,Samsung S1 Earbuds,Samsung,Electronics,Earbuds,183.56,B1JFPAQL5A,S0000004
P0000185,Realme Go Earbuds,Realme,Electronics,Earbuds,272.08,BKXYCFR3PN,S0000005
P0000186,Xiaomi X1 Speaker,Xiaomi,Electronics,Speaker,683.48,BTBLPBKXA1,S0000006
P0000187,Sony Ultra Camera,Sony,Electronics,Camera,3639.04,BOZL4GHZY1,S0000007
P0000188,Redmi Lite 512GB Tablet,Redmi,Electronics,Tablet,381.05,B6F0G9PBZ8,S0000008
P0000189,Nokia S2 32GB Laptop,Nokia,Electronics,Laptop,712.89,B0785LLT4N,S0000009
P0000190,Nokia X1 Router,Nokia,Electronics,Router,169.95,BY6LK4J4GO,S0000010
P0000191,Samsung Lite 64GB Tablet,Samsung,Electronics,Tablet,462.26,BPQO47R76P,S0000001
P0000192,Nokia S3 32GB Laptop,Nokia,Electronics,Laptop,1634.64,B3311PJREK,S0000002
P0000193,Nikon Go TV,Nikon,Electronics,TV,4412.75,BM8940RX1B,S0000003
P0000194,Lenovo Go 512GB Laptop,Lenovo,Electronics,Laptop,432.14,B1ACEKWDQ9,S0000004
P0000195,Boult M3 TV,Boult,Electronics,TV,2038.89,BDOFEX0FXA,S0000005
P0000196,Dell Edge 32GB Laptop,Dell,Electronics,Laptop,2014.81,BR4I3MVE2I,S0000006
P0000197,Vivo X2 Monitor,Vivo,Electronics,Monitor,588.03,B948T116Z3,S0000007
P0000198,TP-Link Z3 Monitor,TP-Link,Electronics,Monitor,1446.65,BV8E9B94Y5,S0000008
P0000199,Canon Z3 256GB Tablet,Canon,Electronics,Tablet,363.52,B32UNY5Z4Y,S0000009
P0000200,OPPO Go 128GB Tablet,OPPO,Electronics,Tablet,643.70,BNI85O59MV,S0000010
P0000201,Amazfit Z3 Camera,Amazfit,Electronics,Camera,3696.43,BSEPC66UQG,S0000001
P0000202,LG Z3 Smartwatch,LG,Electronics,Smartwatch,607.58,BZNEX0RZSG,S0000002
P0000203,HP Ultra Router,HP,Electronics,Router,364.12,BQ7A6JQKZO,S0000003
P0000204,TP-Link Prime Monitor,TP-Link,Electronics,Monitor,1772.60,BJNWHU7VHN,S0000004
P0000205,Sony S1 Monitor,Sony,Electronics,Monitor,1648.71,BSPIR8C5RH,S0000005
P0000206,LG S2 Smartwatch,LG,Electronics,Smartwatch,236.27,BUI6YXH6E7,S0000006
P0000207,Huawei X2 Router,Huawei,Electronics,Router,207.88,BYGUB26753,S0000007
P0000208,JBL Air Monitor,JBL,Electronics,Monitor,134.60,BYUINZRQR9,S0000008
P0000209,JBL Air Earbuds,JBL,Electronics,Earbuds,73.70,BBXVO52E5X,S0000009
P0000210,Lenovo S3 Router,Lenovo,Electronics,Router,172.12,BJ84R4RCE6,S0000010
P0000211,Redmi X3 Router,Redmi,Electronics,Router,57.84,BMOISZDIK6,S0000001
P0000212,Marshall S2 Router,Marshall,Electronics,Router,167.68,BWBOHE1AOF,S0000002
P0000213,Lenovo S2 128GB Tablet,Lenovo,Electronics,Tablet,215.47,BRETJV1XP1,S0000003
P0000214,Boult Prime Smartwatch,Boult,Electronics,Smartwatch,52.12,BCAC0XKLKU,S0000004
P0000215,MSI Air 512GB Laptop,MSI,Electronics,Laptop,3231.64,BZ0D3E4YPQ,S0000005
P0000216,Nikon Neo Router,Nikon,Electronics,Router,266.77,BIXS6975UD,S0000006
P0000217,ASUS M3 128GB Tablet,ASUS,Electronics,Tablet,280.74,B048SGU5VQ,S0000007
P0000218,Redmi Air Camera,Redmi,Electronics,Camera,4170.54,B7BVYFEBVZ,S0000008
P0000219,Netgear X2 Camera,Netgear,Electronics,Camera,974.50,BHWZ32WG0P,S0000009
P0000220,Motorola X3 Monitor,Motorola,Electronics,Monitor,1588.90,BC3CN0F7KT,S0000010
P0000221,Motorola Ultra Earbuds,Motorola,Electronics,Earbuds,383.63,BAUDUSRP8A,S0000001
P0000222,Realme X2 Monitor,Realme,Electronics,Monitor,698.19,BBW44ZIFA6,S0000002
P0000223,Boult Z3 Headphones,Boult,Electronics,Headphones,274.57,B09CQOJ36W,S0000003
P0000224,Netgear Z3 256GB Laptop,Netgear,Electronics,Laptop,1019.86,B09RLMS9ES,S0000004
P0000225,GoPro Neo Router,GoPro,Electronics,Router,236.49,BPMHC2Y1Z8,S0000005
P0000226,Lenovo Prime Monitor,Lenovo,Electronics,Monitor,672.56,BWG3P9VO7G,S0000006
P0000227,Sennheiser Bolt Smartwatch,Sennheiser,Electronics,Smartwatch,732.62,BR8YVJ3P0F,S0000007
P0000228,HP Air Headphones,HP,Electronics,Headphones,228.73,BNHMLHOQKU,S0000008
P0000229,Sennheiser S3 Router,Sennheiser,Electronics,Router,380.04,B6057TRZTQ,S0000009
P0000230,D-Link Prime Headphones,D-Link,Electronics,Headphones,204.40,BJSSODNXTS,S0000010
P0000231,Marshall Z3 Camera,Marshall,Electronics,Camera,1666.63,BTICBMXX3T,S0000001
P0000232,Marshall X1 Earbuds,Marshall,Electronics,Earbuds,369.66,BUJAHO2Y06,S0000002
P0000233,TP-Link Bolt TV,TP-Link,Electronics,TV,3554.42,B96M6HSPCQ,S0000003
P0000234,LG X3 Speaker,LG,Electronics,Speaker,253.04,B18B2SBP2A,S0000004
P0000235,HP Go Monitor,HP,Electronics,Monitor,795.00,B6KYPXXXWG,S0000005
P0000236,Garmin Lite Headphones,Garmin,Electronics,Headphones,373.63,BF2ZIEQ9Q4,S0000006
P0000237,D-Link S1 Camera,D-Link,Electronics,Camera,440.13,BPJYS4J1BY,S0000007
P0000238,Samsung Pro 128GB Smartphone,Samsung,Electronics,Smartphone,1559.87,BUWJ0AI01X,S0000008
P0000239,TP-Link S1 Smartwatch,TP-Link,Electronics,Smartwatch,470.88,BDJ7OBYGOA,S0000009
P0000240,OnePlus S2 Earbuds,OnePlus,Electronics,Earbuds,114.97,BPEM17WMWX,S0000010
P0000241,Netgear Bolt Smartwatch,Netgear,Electronics,Smartwatch,814.51,B7ITGEXBN8,S0000001
P0000242,GoPro Z3 Headphones,GoPro,Electronics,Headphones,660.64,BM2HTA6K4A,S0000002
P0000243,Netgear Prime Smartwatch,Netgear,Electronics,Smartwatch,757.56,B0VAFVZP9C,S0000003
P0000244,LG Z3 512GB Smartphone,LG,Electronics,Smartphone,1367.67,BG6NODIJE6,S0000004
P0000245,ASUS X3 Earbuds,ASUS,Electronics,Earbuds,250.59,B9EPDXT6IX,S0000005
P0000246,Lenovo X1 Monitor,Lenovo,Electronics,Monitor,934.91,B03IA5D7DD,S0000006
P0000247,Redmi Prime Earbuds,Redmi,Electronics,Earbuds,184.17,B5JKZ2XHLT,S0000007
P0000248,Xiaomi Air TV,Xiaomi,Electronics,TV,1200.14,BL2Q5S2LYH,S0000008
P0000249,Nikon Z3 32GB Tablet,Nikon,Electronics,Tablet,640.38,BAY5X9MATI,S0000009
P0000250,GoPro Air 256GB Tablet,GoPro,Electronics,Tablet,892.14,BXPNOX04GL,S0000010
P0000251,JBL Prime Earbuds,JBL,Electronics,Earbuds,123.79,BYWKHBKKS1,S0000001
P0000252,Realme Edge Smartwatch,Realme,Electronics,Smartwatch,1176.49,BYKJB5ZFQZ,S0000002
P0000253,TP-Link Pro Smartwatch,TP-Link,Electronics,Smartwatch,885.03,B2OUPB6RMM,S0000003
P0000254,Nokia X2 Earbuds,Nokia,Electronics,Earbuds,253.86,BQU34SAT7P,S0000004
P0000255,TP-Link Z3 Earbuds,TP-Link,Electronics,Earbuds,310.21,BXJQ27WWWL,S0000005
P0000256,Garmin Bolt Router,Garmin,Electronics,Router,324.01,B2QYJC7SNA,S0000006
P0000257,D-Link S3 Earbuds,D-Link,Electronics,Earbuds,307.64,BDTAKTOBQJ,S0000007
P0000258,GoPro Ultra Monitor,GoPro,Electronics,Monitor,556.14,BT2NHTRPJL,S0000008
P0000259,Nikon Go TV,Nikon,Electronics,TV,2997.56,B4QFGJ9WPP,S0000009
P0000260,boAt S3 Camera,boAt,Electronics,Camera,1294.59,BU2QQBR2BN,S0000010
P0000261,Motorola Edge Headphones,Motorola,Electronics,Headphones,269.30,B9USL07QG6,S0000001
P0000262,Realme Air Earbuds,Realme,Electronics,Earbuds,375.88,BKXFZUXPDC,S0000002
P0000263,Xiaomi Edge Earbuds,Xiaomi,Electronics,Earbuds,74.41,BR62LUVUDJ,S0000003
P0000264,TP-Link S3 Monitor,TP-Link,Electronics,Monitor,1701.97,B3EQB851BQ,S0000004
